休日ダイヤ 金沢駅 上り時刻表
5,普通,普通
,14,47
,敦賀,小松
,5,3
6,普通,普通,普通
,04,31,49
,敦賀,小松,大聖寺
,2,5,5
7,普通,普通,普通,普通,普通
,02,18,30,51,59
,福井,小松,大聖寺,小松,福井
,2,3,2,1,3
8,普通,普通
,17,36
,小松,敦賀
,3,3
9,普通,普通
,00,30
,小松,福井
,3,3
10,普通,普通
,00,30
,小松,福井
,3,2
11,普通,普通
,00,30
,小松,福井
,5,1
12,普通,普通
,00,30
,小松,福井
,3,5
13,普通,普通
,00,30
,小松,福井
,2,1
14,普通,普通,普通
,00,30,54
,小松,福井,小松
,3,3,3
15,普通,普通
,19,50
,福井,小松
,2,2
16,普通,普通
,15,40
,福井,福井
,3,5
17,普通,普通,普通
,02,17,35
,小松,福井,小松
,2,2,3
18,普通,快速,普通
,00,20,30
,福井,大聖寺,福井
,5,3,5
19,普通,普通,普通
,00,25,50
,小松,福井,小松
,5,3,3
20,普通,普通
,07,28
,福井,福井
,2,3
21,普通,普通
,15,58
,福井,福井
,5,2
22,普通,普通
,32,48
,小松,福井
,2,1
23,普通,普通
,05,48
,小松,小松
,3,5
