Aダイヤ 米原駅 下り時刻表,,,,,
5,普通,,,,
,41,,,,
,近江塩津,,,,
,5,,,,
6,普通,普通,普通,,
,11,30,52,,
,敦賀,長浜,敦賀,,
,5,5,5,,
7,普通,普通,普通,,
,13,28,41,,
,長浜,長浜,長浜,,
,6,5,6,,
8,普通,特急しらさぎ,普通,普通,特急しらさぎ
,4,10,34,46,57
,敦賀,金沢,敦賀,長浜,金沢
,5,5,5,5,5
9,新快速,普通,新快速,特急しらさぎ,
,0,30,40,56,
,近江塩津,敦賀,長浜,金沢,
,6,5,6,5,
10,普通,特急しらさぎ,,,
,5,56,,,
,近江塩津,金沢,,,
,6,5,,,
11,新快速,特急しらさぎ,,,
,1,56,,,
,近江塩津,金沢,,,
,6,5,,,
12,新快速,特急しらさぎ,,,
,1,56,,,
,近江塩津,金沢,,,
,6,5,,,
13,新快速,,,,
,1,,,,
,近江塩津,,,,
,6,,,,
14,新快速,特急しらさぎ,,,
,1,56,,,
,近江塩津,金沢,,,
,6,5,,,
15,新快速,新快速,特急しらさぎ,,
,1,26,56,,
,近江塩津,長浜,金沢,,
,6,6,5,,
16,新快速,新快速,特急しらさぎ,,
,1,27,56,,
,近江塩津,長浜,金沢,,
,6,6,5,,
17,新快速,新快速,特急しらさぎ,,
,1,27,56,,
,敦賀,長浜,金沢,,
,6,6,5,,
18,新快速,新快速,特急しらさぎ,,
,2,27,56,,
,敦賀,長浜,金沢,,
,6,6,5,,
19,新快速,新快速,特急しらさぎ,,
,2,28,56,,
,敦賀,長浜,金沢,,
,6,6,5,,
20,新快速,普通,特急しらさぎ,,
,4,28,56,,
,敦賀,長浜,金沢,,
,6,6,5,,
21,新快速,新快速,特急しらさぎ,,
,3,31,56,,
,長浜,長浜,金沢,,
,6,6,5,,
22,新快速,普通,特急しらさぎ,,
,0,33,48,,
,長浜,長浜,金沢,,
,6,5,5,,
23,普通,普通,,,
,8,32,,,
,敦賀,長浜,,,
,5,5,,,
